Gene_symbol	Description
KIR2DS1	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1
KIR2DS2	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2
KIR2DS3	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3 (NOTE: redefinition of symbol)
KIR2DS4	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4 (NOTE: redefinition of symbol)
KIR2DS5	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5
KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1
KIR3DL2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2
KIR3DS1	killer cell immunoglobulin-like receptor, three domains, short cytoplasmic tail, 1
KISS1	KiSS-1 metastasis-suppressor
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
KITLG	KIT ligand
KL	klotho
KLF1	Kruppel-like factor 1 (erythroid)
KLF12	Kruppel-like factor 12
KLF13	Kruppel-like factor 13
KLF2	Kruppel-like factor 2 (lung)
KLF4	Kruppel-like factor 4 (gut)
KLF5	Kruppel-like factor 5 (intestinal)
KLF7	Kruppel-like factor 7 (ubiquitous)
KLF8	Kruppel-like factor 8
KLHL1	kelch (Drosophila)-like 1
KLHL2	kelch (Drosophila)-like 2 (Mayven)
KLHL3	kelch (Drosophila)-like 3
KLHL4	kelch (Drosophila)-like 4
KLHL5	kelch (Drosophila)-like 5
KLK1	kallikrein 1, renal/pancreas/salivary
KLK10	kallikrein 10
KLK11	kallikrein 11
KLK12	kallikrein 12
KLK13	kallikrein 13
KLK14	kallikrein 14
KLK2	kallikrein 2, prostatic
KLK3	kallikrein 3, (prostate specific antigen)
KLK4	kallikrein 4 (prostase, enamel matrix, prostate)
KLK5	kallikrein 5
KLK6	kallikrein 6 (neurosin, zyme)
KLK7	kallikrein 7 (chymotryptic, stratum corneum)
KLK8	kallikrein 8 (neuropsin/ovasin)
KLK9	kallikrein 9
KLKB1	kallikrein B, plasma (Fletcher factor) 1
KLRA1	killer cell lectin-like receptor subfamily A, member 1
KLRB1	killer cell lectin-like receptor subfamily B, member 1
KLRC1	killer cell lectin-like receptor subfamily C, member 1
KLRC2	killer cell lectin-like receptor subfamily C, member 2
KLRC3	killer cell lectin-like receptor subfamily C, member 3
KLRC4	killer cell lectin-like receptor subfamily C, member 4
KLRD1	killer cell lectin-like receptor subfamily D, member 1
KLRE	killer cell lectin-like receptor subfamily E
KLRG1	killer cell lectin-like receptor subfamily G, member 1
KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
KMS	Kabuki make-up syndrome
KNG	kininogen
KNO	Knobloch syndrome
KNPEP	lysyl aminopeptidase (aminopeptidase Co)
KNS2	kinesin 2 (60-70kD)
KNSL1	kinesin-like 1
KNSL2	kinesin-like 2
KNSL3	kinesin-like 3
KNSL4	kinesin-like 4
KNSL5	kinesin-like 5 (mitotic kinesin-like protein 1)
KNSL6	kinesin-like 6 (mitotic centromere-associated kinesin)
KPNA1	karyopherin alpha 1 (importin alpha 5)
KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
KPNA3	karyopherin alpha 3 (importin alpha 4)
KPNA4	karyopherin alpha 4 (importin alpha 3)
KPNA5	karyopherin alpha 5 (importin alpha 6)
KPNA6	karyopherin alpha 6 (importin alpha 7)
KPNB1	karyopherin (importin) beta 1
KPNB2	karyopherin (importin) beta 2
KPNB3	karyopherin (importin) beta 3
KPTN	kaptin (actin-binding protein)
KRAS1P	v-Ki-ras1 Kirsten rat sarcoma 1 viral oncogene homolog, processed pseudogene
KRAS2	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog
KRML	Kreisler (mouse) maf-related leucine zipper homolog
KRN1	keratin, cuticle, ultrahigh sulphur 1
KRN1L	keratin, cuticle, ultrahigh sulphur 1-like
KRT1	keratin 1 (epidermolytic hyperkeratosis)
KRT10	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)
KRT12	keratin 12 (Meesmann corneal dystrophy)
KRT13	keratin 13
KRT14	keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)
KRT14L1	keratin 14-like 1 (20kb)
KRT14L2	keratin 14-like 2 (10kb)
KRT14L3	keratin 14-like 3 (6.6kb)
KRT14P	keratin 14 pseudogene
KRT15	keratin 15
KRT15L	keratin 15-like
KRT16	keratin 16 (focal non-epidermolytic palmoplantar keratoderma)
KRT16L1	keratin 16-like 1 (16kb)
KRT16L2	keratin 16-like 2 (11kb)
KRT16P1	keratin 16 pseudogene 1
KRT17	keratin 17
KRT17P1	keratin 17 pseudogene 1
KRT17P2	keratin 17 pseudogene 2
KRT18	keratin 18
KRT18L1	keratin 18-like 1
KRT18L3	keratin 18-like 3
KRT18L4	keratin 18-like 4
KRT18P1	keratin 18 pseudogene 1
KRT18P2	keratin 18 pseudogene 2
KRT19	keratin 19
KRT22	keratin 22
KRT23	keratin 23 (histone deacetylase inducible)
KRT2A	keratin 2A (epidermal ichthyosis bullosa of Siemens)
KRT3	keratin 3
KRT4	keratin 4
KRT5	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)
KRT6A	keratin 6A
KRT6B	keratin 6B
KRT7	keratin 7
KRT8	keratin 8
KRT9	keratin 9 (epidermolytic palmoplantar keratoderma)
KRTHA1	keratin, hair, acidic,1
KRTHA2	keratin, hair, acidic,2
KRTHA3A	keratin, hair, acidic,3A
KRTHA3B	keratin, hair, acidic,3B
KRTHA4	keratin, hair, acidic, 4
KRTHA5	keratin, hair, acidic, 5
KRTHA6	keratin, hair, acidic, 6
KRTHA7	keratin, hair, acidic, 7
KRTHA8	keratin, hair, acidic, 8
KRTHAP1	keratin, hair, acidic, pseudogene 1
KRTHB1	keratin, hair, basic, 1
KRTHB2	keratin, hair, basic, 2
KRTHB3	keratin, hair, basic, 3
KRTHB4	keratin, hair, basic, 4
KRTHB5	keratin, hair, basic, 5
KRTHB6	keratin, hair, basic, 6 (monilethrix)
KRTL1	keratin-like 1 (a type II keratin sequence)
KSR	kinase suppressor of ras
KSS	Kearns-Sayre syndrome
KTN1	kinectin 1 (kinesin receptor)
KWE	keratolytic winter erythema (Oudtshoorn skin disease)
KYNU	kynureninase (L-kynurenine hydrolase)
L1CAM	L1 cell adhesion molecule (hydrocephalus, stenosis of aqueduct of Sylvius 1, MASA (mental retardation, aphasia, shuffling gait and adducted thumbs) syndrome, spastic paraplegia 1)
LAD1	ladinin 1
LAF4	lymphoid nuclear protein related to AF4
LAG3	lymphocyte-activation gene 3
LAIR1	leukocyte-associated Ig-like receptor 1
LAIR2	leukocyte-associated Ig-like receptor 2
LAKL	lymphokine-activated killer cell ligand
LALBA	lactalbumin, alpha-
LAMA1	laminin, alpha 1
LAMA2	laminin, alpha 2 (merosin, congenital muscular dystrophy)
LAMA3	laminin, alpha 3 (nicein (150kD), kalinin (165kD), BM600 (150kD), epilegrin)
LAMA4	laminin, alpha 4
LAMA5	laminin, alpha 5
LAMB1	laminin, beta 1
LAMB2	laminin, beta 2 (laminin S)
LAMB2L	laminin, beta 2 -like
LAMB3	laminin, beta 3 (nicein (125kD), kalinin (140kD), BM600 (125kD))
LAMB4	laminin, beta 4
LAMC1	laminin, gamma 1 (formerly LAMB2)
LAMC2	laminin, gamma 2 (nicein (100kD), kalinin (105kD), BM600 (100kD), Herlitz junctional epidermolysis bullosa))
LAMC3	laminin, gamma 3
LAMP1	lysosomal-associated membrane protein 1
LAMP1L1	lysosomal-associated membrane protein 1-like 1
LAMP2	lysosomal-associated membrane protein 2
LAMR1	laminin receptor 1 (67kD, ribosomal protein SA)
LAMRL1	laminin receptor-like 1
LAMRL2	laminin receptor-like 2
LAMRL3	laminin receptor-like 3
LAMRL4	laminin receptor-like 4
LANCL1	LanC (bacterial lantibiotic synthetase component C)-like 1
LANCL2	LanC (bacterial lantibiotic synthetase component C)-like 2
LAP18	leukemia-associated phosphoprotein p18 (stathmin)
LAPTM4A	lysosomal-associated protein transmembrane 4 alpha
LARGE	like-glycosyltransferase
LARS	leucyl-tRNA synthetase
LASP1	LIM and SH3 protein 1
LATS1	LATS (large tumor suppressor, Drosophila) homolog 1
LATS2	LATS (large tumor suppressor, Drosophila) homolog 2
LBC	lymphoid blast crisis oncogene
LBP	lipopolysaccharide-binding protein
LBR	lamin B receptor
LCA3	Leber congenital amaurosis 3
LCAT	lecithin-cholesterol acyltransferase
LCK	lymphocyte-specific protein tyrosine kinase
LCN1	lipocalin 1 (protein migrating faster than albumin, tear prealbumin)
LCN2	lipocalin 2 (oncogene 24p3)
LCO	liver cancer oncogene
LCP1	lymphocyte cytosolic protein 1 (L-plastin)
LCP2	lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76kD)
LCT	lactase
LDB1	LIM domain binding 1
LDB2	LIM domain binding 2
LDHA	lactate dehydrogenase A
LDHAL1	lactate dehydrogenase A-like 1
LDHAL2	lactate dehydrogenase A-like 2
LDHAL3	lactate dehydrogenase A-like 3
LDHAL4	lactate dehydrogenase A-like 4
LDHAL5	lactate dehydrogenase A-like 5
LDHB	lactate dehydrogenase B
LDHBL1	lactate dehydrogenase B-like 1
LDHBP	lactate dehydrogenase B pseudogene
LDHC	lactate dehydrogenase C
LDLB	low density lipoprotein receptor defect B complementing
LDLC	low density lipoprotein receptor defect C complementing
LDLR	low density lipoprotein receptor (familial hypercholesterolemia)
LDOC1	leucine zipper, down-regulated in cancer 1
LECT2	leukocyte cell-derived chemotaxin 2
LEF1	lymphoid enhancer-binding factor 1
LEFTB	left-right determination, factor B
LEP	leptin (murine obesity homolog)
LEPR	leptin receptor
LEPROTL1	leptin receptor overlapping transcript-like 1
LETM1	leucine zipper-EF-hand containing transmembrane protein 1
LFNG	lunatic fringe (Drosophila) homolog
LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1)
LGALS2	lectin, galactoside-binding, soluble, 2 (galectin 2) (NOTE: redefinition of symbol)
LGALS3	lectin, galactoside-binding, soluble, 3 (galectin 3) (NOTE: redefinition of symbol)
LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein (galectin 6 binding protein)
LGALS4	lectin, galactoside-binding, soluble, 4 (galectin 4)
LGALS5	lectin, galactoside-binding, soluble, 5 (galectin 5)
LGALS6	lectin, galactoside-binding, soluble, 6 (galectin 6)
LGALS7	lectin, galactoside-binding, soluble, 7 (galectin 7)
LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)
LGALS9	lectin, galactoside-binding, soluble, 9 (galectin 9)
LGCR	Langer-Giedion syndrome chromosome region
LGI1	leucine-rich, glioma inactivated 1
LGMD1A	limb-girdle muscular dystrophy 1A (autosomal dominant)
LGMD1B	limb girdle muscular dystrophy 1B (autosomal dominant)
LGMD1D	limb girdle muscular dystrophy 1D (autosomal dominant)
LGMD2G	limb girdle muscular dystrophy 2G (autosomal recessive)
LGMD2H	limb girdle muscular dystrophy 2H (autosomal recessive)
LGTN	ligatin
LHB	luteinizing hormone beta polypeptide
LHCGR	luteinizing hormone/choriogonadotropin receptor
LHFP	lipoma HMGIC fusion partner
LHFPL1	lipoma HMGIC fusion partner-like 1
LHFPL2	lipoma HMGIC fusion partner-like 2
LHFPL3	lipoma HMGIC fusion partner-like 3
LHFPL4	lipoma HMGIC fusion partner-like 4
LHON	Leber optic neuropathy
LHX1	LIM homeobox protein 1
LHX2	LIM homeobox protein 2
LHX3	LIM homeobox protein 3
LIF	leukemia inhibitory factor (cholinergic differentiation factor)
LIFR	leukemia inhibitory factor receptor
LIG1	ligase I, DNA, ATP-dependent
LIG2	ligase II, DNA, ATP-dependent
LIG3	ligase III, DNA, ATP-dependent
LIG4	ligase IV, DNA, ATP-dependent
LILRA1	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1
LILRA2	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2
LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3
LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2
LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3
LILRB4	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4
LILRB5	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5
LIM2	lens intrinsic membrane protein 2 (19kD)
LIMD1	LIM domains containing 1
LIMK1	LIM domain kinase 1
LIMK2	LIM domain kinase 2
LIMM	lethal infantile mitochonrial myopathy
LIMS1	LIM and senescent cell antigen-like domains 1
LIPA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)
LIPB	lipase B, lysosomal acid
LIPC	lipase, hepatic
LIPE	lipase, hormone-sensitive
LIPF	lipase, gastric
LIPG	lipase, endothelial
LLGL1	lethal giant larvae (Drosophila) homolog 1
LLGL2	lethal giant larvae (Drosophila) homolog 2
LLP	lactation, late, protein (macropodids)
LMAN1	lectin, mannose-binding, 1
LMAN1L	lectin, mannose-binding, 1 like
LMCD1	LIM and cysteine-rich domains 1
LMNA	lamin A/C
LMNB1	lamin B1
LMNB2	lamin B2
LMNL1	lamin A/C-like 1
LMNL2	lamin A/C-like 2
LMO1	LIM domain only 1 (rhombotin 1)
LMO2	LIM domain only 2 (rhombotin-like 1)
LMO3	LIM domain only 3 (rhombotin-like 2)
LMO4	LIM domain only 4
LMO6	LIM domain only 6
LMO7	LIM domain only 7
LMOD1	leiomodin 1 (smooth muscle)
LMOD2	leiomodin 2 (cardiac)
LMOD3	leiomodin 3 (fetal)
LMX1A	LIM homeobox transcription factor 1, alpha
LMX1B	LIM homeobox transcription factor 1, beta
LNPEP	leucyl/cystinyl aminopeptidase
LNX	ligand of numb-protein X
LOH11CR2A	loss of heterozygosity, 11, chromosomal region 2, gene A
LOH18CR1	loss of heterozygosity, 18, chromosomal region 1
LOH19CR1	loss of heterozygosity, 19, chromosomal region 1
LOH1CR1	loss of heterozygosity, 1, chromosomal region 1
LOH3CR2A	loss of heterozygosity, 3, chromosomal region 2, gene A
LOR	loricrin
LOX	lysyl oxidase
LOXL1	lysyl oxidase-like 1
LOXL2	lysyl oxidase-like 2
LPA	lipoprotein, Lp(a)
LPAL1	lipoprotein, Lp(a)-like 1
LPAL2	lipoprotein, Lp(a)-like 2
LPGP1	lipogenic protein 1
LPL	lipoprotein lipase
LPO	lactoperoxidase
LPP	LIM domain-containing preferred translocation partner in lipoma
LPXN	leupaxin
LQT4	long (electrocardiographic) QT syndrome 4
LRAT	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)
LRE1	LINE retrotransposable element 1
LRE2	LINE retrotransposable element 2
LRE3	LINE retrotransposable element 3
LRE4	LINE retrotransposable element 4
LRMP	lymphoid-restricted membrane protein
LRN	leucine-rich neuronal protein
LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)
LRP1B	low density lipoprotein-related protein 1B (deleted in tumors)
LRP2	low density lipoprotein-related protein 2
LRP3	low density lipoprotein receptor-related protein 3
LRP4	low density lipoprotein receptor-related protein 4
LRP5	low density lipoprotein receptor-related protein 5
LRP6	low density lipoprotein receptor-related protein 6
LRP8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
LRPAP1	low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1)
LRRFIP1	leucine rich repeat (in FLII) interacting protein 1
LRRFIP2	leucine rich repeat (in FLII) interacting protein 2
LRS1	Larsen syndrome 1 (autosomal dominant)
LSAMP	limbic system-associated membrane protein
LSFC	Leigh syndrome, French-Canadian type (cytochrome oxidase deficiency)
LSP1	lymphocyte-specific protein 1
LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)
LTA	lymphotoxin alpha (TNF superfamily, member 1)
LTA4H	leukotriene A4 hydrolase
LTB	lymphotoxin beta (TNF superfamily, member 3)
LTB4R	leukotriene b4 receptor (chemokine receptor-like 1)
LTBP1	latent transforming growth factor beta binding protein 1
LTBP2	latent transforming growth factor beta binding protein 2 (NOTE:redefinition of symbol)
LTBP3	latent transforming growth factor beta binding protein 3
LTBP4	latent transforming growth factor beta binding protein 4
LTBR	lymphotoxin beta receptor (TNFR superfamily, member 3)
LTC4S	leukotriene C4 synthase
LTF	lactotransferrin
LTK	leukocyte tyrosine kinase
LU	Lutheran blood group (Auberger b antigen included)
LUC7L	LUC7 (S. cerevisiae)-like
LUM	lumican
LY64	lymphocyte antigen 64 (mouse) homolog, radioprotective, 105kD
LY6E	lymphocyte antigen 6 complex, locus E
LY6H	lymphocyte antigen 6 complex, locus H
LY75	lymphocyte antigen 75
LY9	lymphocyte antigen 9
LY94	lymphocyte antigen 94 (mouse) homolog (activating NK-receptor; NK-p46)
LY95	lymphocyte antigen 95 (activating NK-receptor; NK-p44)
LYL1	lymphoblastic leukemia derived sequence 1
LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
LYPLA1	lysophospholipase I
LYPLA2	lysophospholipase II
LYZ	lysozyme (renal amyloidosis)
LZTFL1	leucine zipper transcription factor-like 1
LZTR1	leucine-zipper-like transcriptional regulator, 1
M11S1	membrane component, chromosome 11, surface marker 1
M130	membrane external protein (130kD)
M17S2	membrane component, chromosome 17, surface marker 2 (ovarian carcinoma antigen CA125)
M195	membrane external protein (195kD)
M6P2	membrane component, chromosome 6, polypeptide 2 (identified by monoclonal antibody MARB15)
M6PR	mannose-6-phosphate receptor (cation dependent)
MAA	microphthalmia or anophthalmia and associated anomalies
MAAT1	melanoma-associated antigen recognised by cytotoxic T lymphocytes
MAB21L1	mab-21 (C. elegans)-like 1
MAB21L2	mab-21 (C. elegans)-like 2
MACS	myristoylated alanine-rich protein kinase C substrate (MARCKS, 80K-L)
MACSL1	myristoylated alanine-rich protein kinase C substrate (MARCKS, 80K-L)-like 1
MAD	MAX dimerization protein
MAD1L1	MAD1 (mitotic arrest deficient, yeast, homolog)-like 1
MAD2L1	MAD2 (mitotic arrest deficient, yeast, homolog)-like 1
MAD2L2	MAD2 (mitotic arrest deficient, yeast, homolog)-like 2
MADCAM1	mucosal vascular addressin cell adhesion molecule 1
MADD	MAP-kinase activating death domain
MADH1	MAD (mothers against decapentaplegic, Drosophila) homolog 1
MADH2	MAD (mothers against decapentaplegic, Drosophila) homolog 2
MADH3	MAD (mothers against decapentaplegic, Drosophila) homolog 3
MADH4	MAD (mothers against decapentaplegic, Drosophila) homolog 4
MADH5	MAD (mothers against decapentaplegic, Drosophila) homolog 5
MADH6	MAD (mothers against decapentaplegic, Drosophila) homolog 6 (NOTE: redefinition of symbol)
MADH7	MAD (mothers against decapentaplegic, Drosophila) homolog 7
MADH9	MAD (mothers against decapentaplegic, Drosophila) homolog 9
MADHIP	MAD (mothers against decapentaplegic, Drosophila) homolog interacting protein, receptor activation anchor
MAEA	macrophage erythroblast attacher
MAF	v-maf musculoaponeurotic fibrosarcoma (avian) oncogene homolog
MAFD1	major affective disorder 1
MAFD2	major affective disorder 2
MAFF	v-maf musculoaponeurotic fibrosarcoma (avian) oncogene family, protein F
MAFG	v-maf musculoaponeurotic fibrosarcoma (avian) oncogene family, protein G
MAFK	v-maf musculoaponeurotic fibrosarcoma (avian) oncogene family, protein K
MAG	myelin associated glycoprotein
MAG	myelin associated glycoprotein
MAGEA1	melanoma antigen, family A, 1 (directs expression of antigen MZ2-E)
MAGEA10	melanoma antigen, family A, 10
MAGEA11	melanoma antigen, family A, 11
MAGEA12	melanoma antigen, family A, 12
MAGEA2	melanoma antigen, family A,  2
MAGEA3	melanoma antigen, family A, 3
MAGEA4	melanoma antigen, family A, 4
MAGEA5	melanoma antigen, family A, 5
MAGEA6	melanoma antigen, family A, 6
MAGEA7	melanoma antigen, family A, 7, pseudogene
MAGEA8	melanoma antigen, family A, 8
MAGEA9	melanoma antigen, family A, 9
MAGEB1	melanoma antigen, family B, 1
MAGEB2	melanoma antigen, family B, 2
MAGEB3	melanoma antigen, family B, 3
MAGEB4	melanoma antigen, family B, 4
MAGEC1	melanoma antigen, family C, 1
MAGED1	melanoma antigen, family D, 1
MAGEE1	melanoma antigen, family E, 1, cancer/testis specific
MAGEL2	MAGE-like 2
MAGOH	mago-nashi (Drosophila) homolog, proliferation-associated
MAK	male germ cell-associated kinase
MAL	mal, T-cell differentiation protein
MALL	mal, T-cell differentiation protein-like
MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1
MAN1A1	mannosidase, alpha, class 1A, member 1
MAN1A2	mannosidase, alpha, class 1A, member 2
MAN1B1	mannosidase, alpha, class 1B, member 1
MAN2A1	mannosidase, alpha, class 2A, member 1
MAN2A2	mannosidase, alpha, class 2A, member 2
MAN2B1	mannosidase, alpha, class 2B, member 1
MAN2C1	mannosidase, alpha, class 2C, member 1
MANBA	mannosidase, beta A, lysosomal
MANBB	mannosidase, beta B, soluble
MAOA	monoamine oxidase A
MAOB	monoamine oxidase B
MAP1A	microtubule-associated protein 1A
MAP1B	microtubule-associated protein 1B
MAP1LC3A	microtubule-associated protein 1 light chain 3 alpha
MAP2	microtubule-associated protein 2
MAP2K1	mitogen-activated protein kinase kinase 1
MAP2K1P1	mitogen-activated protein kinase kinase 1 pseudogene 1
MAP2K2	mitogen-activated protein kinase kinase 2
MAP2K3	mitogen-activated protein kinase kinase 3
MAP2K4	mitogen-activated protein kinase kinase 4
MAP2K5	mitogen-activated protein kinase kinase 5
MAP2K6	mitogen-activated protein kinase kinase 6
MAP2K7	mitogen-activated protein kinase kinase 7
MAP3K1	mitogen-activated protein kinase kinase kinase 1
MAP3K10	mitogen-activated protein kinase kinase kinase 10
MAP3K11	mitogen-activated protein kinase kinase kinase 11
MAP3K12	mitogen-activated protein kinase kinase kinase 12
MAP3K13	mitogen-activated protein kinase kinase kinase 13
MAP3K14	mitogen-activated protein kinase kinase kinase 14
MAP3K2	mitogen-activated protein kinase kinase kinase 2
MAP3K3	mitogen-activated protein kinase kinase kinase 3
MAP3K4	mitogen-activated protein kinase kinase kinase 4
MAP3K5	mitogen-activated protein kinase kinase kinase 5
MAP3K6	mitogen-activated protein kinase kinase kinase 6
MAP3K7	mitogen-activated protein kinase kinase kinase 7
MAP3K8	mitogen-activated protein kinase kinase kinase 8
MAP3K9	mitogen-activated protein kinase kinase kinase 9
MAP4	microtubule-associated protein 4
MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
MAP4K2	mitogen-activated  protein kinase kinase kinase kinase 2
MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5
MAP6	microtubule-associated protein 6
MAP7	microtubule-associated protein 7
MAPK1	mitogen-activated protein kinase 1
MAPK10	mitogen-activated protein kinase 10
MAPK11	mitogen-activated protein kinase 11
MAPK12	mitogen-activated protein kinase 12
MAPK13	mitogen-activated protein kinase 13
MAPK14	mitogen-activated protein kinase 14
MAPK3	mitogen-activated protein kinase 3
MAPK4	mitogen-activated protein kinase 4
MAPK6	mitogen-activated protein kinase 6
MAPK7	mitogen-activated protein kinase 7
MAPK8	mitogen-activated protein kinase 8
MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1
MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2
MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3
MAPK8IPP	mitogen-activated protein kinase 8 interacting protein, pseudogene
MAPK9	mitogen-activated protein kinase 9
MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2
MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3
MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5
MAPRE1	microtubule-associated protein, RP/EB family, member 1
MAPRE2	microtubule-associated protein, RP/EB family, member 2
MAPRE3	microtubule-associated protein, RP/EB family, member 3
MAPT	microtubule-associated protein tau
MARCO	macrophage receptor with collagenous structure
MARK1	MAP/microtubule affinity-regulating kinase 1
MARK3	MAP/microtubule affinity-regulating kinase 3
MARKL1	MAP/microtubule affinity-regulating kinase like 1
MARS	methionine-tRNA synthetase
MAS1	MAS1 oncogene
MASP1	mannan-binding lectin serine protease 1 (C4/C2 activating component of Ra-reactive factor)
MASP2	mannan-binding lectin serine protease 2
MAT1A	methionine adenosyltransferase I, alpha
MAT2A	methionine adenosyltransferase II, alpha
MAT2B	methionine adenosyltransferase II, beta
MATK	megakaryocyte-associated tyrosine kinase
MATN1	matrilin 1, cartilage matrix protein
MATN2	matrilin 2
MATN3	matrilin 3
MATN4	matrilin 4
MATR1	matrin F/G 1
MATR3	matrin 3
MAX	MAX protein
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)
MB	myoglobin
MBD1	methyl-CpG binding domain protein 1
MBD2	methyl-CpG binding domain protein 2
MBD3	methyl-CpG binding domain protein 3
MBD4	methyl-CpG binding domain protein 4
MBL1P1	mannose-binding lectin (protein A) 1, pseudogene 1
MBL2	mannose-binding lectin (protein C) 2, soluble (opsonic defect)
MBNL	muscleblind (Drosophila)-like
MBP	myelin basic protein
MBS1	Moebius syndrome 1
MBS2	Moebius syndrome 2
MBS3	Moebius syndrome 3
MC1R	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)
MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)
MC3R	melanocortin 3 receptor
MC4R	melanocortin 4 receptor
MC5R	melanocortin 5 receptor
MCAM	melanoma adhesion molecule
MCC	mutated in colorectal cancers
MCCC1	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)
MCCC2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
MCDR1	macular dystrophy, retinal, 1 (North Carolina type)
MCF2	MCF.2 cell line derived transforming sequence
MCKD1	medullary cystic kidney disease 1 (autosomal dominant)
MCKD2	medullary cystic kidney disease 2 (autosomal dominant)
MCL1	myeloid cell leukemia sequence 1 (BCL2-related)
MCM2	minichromosome maintenance deficient (S. cerevisiae) 2 (mitotin)
MCM3	minichromosome maintenance deficient (S. cerevisiae) 3
MCM3AP	minichromosome maintenance deficient (S. cerevisiae) 3-associated protein
MCM4	minichromosome maintenance deficient (S. cerevisiae) 4
MCM5	minichromosome maintenance deficient (S. cerevisiae) 5 (cell division cycle 46)
MCM6	minichromosome maintenance deficient (mis5, S. pombe) 6
MCM7	minichromosome maintenance deficient (S. cerevisiae) 7
MCO	microphthalmia (Los Angeles type)
MCOLN1	mucolipin 1
MCP	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)
MCPH1	microcephaly, primary autosomal recessive 1
MCPH2	microcephaly, primary autosomal recessive 2
MCPH3	microcephaly, primary autosomal recessive 3
MCPH4	microcephaly, primary autosomal recessive 4
MCPH5	microcephaly, primary autosomal recessive 5
MCPL	membrane cofactor protein-like (CD46-like, trophoblast-lymphocyte cross-reactive antigen-like)
MCRS1	microspherule protein 1
MCS	Miles-Carpenter X-linked mental retardation syndrome
MCSP	mitochondrial capsule selenoprotein
MDCR	Miller-Dieker syndrome chromosome region
MDF1	antigen identified by monoclonal antibody A-3A4
MDFI	MyoD family inhibitor
MDG1	microvascular endothelial differentiation gene 1
MDH1	malate dehydrogenase 1, NAD (soluble)
MDH2	malate dehydrogenase 2, NAD (mitochondrial)
MDK	midkine (neurite growth-promoting factor 2)
MDM2	mouse double minute 2, human homolog of; p53-binding protein
MDM4	mouse double minute 4, human homolog of; p53-binding protein
MDRV	muscular dystrophy, with rimmed vacuoles
MDS1	myelodysplasia syndrome 1
ME1	malic enzyme 1, NADP(+)-dependent, cytosolic
ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial
